,symbol,sector,RSI,ROC,ADOSC,ATR,EMA,start_date,end_date,Sharpe_ratio,average_returns,wtd_sentiment,label
0,MMM,Industrials,43.80046961800585,-10.203119845421561,-1234583.9084920941,5.051922580645165,198.52857142857144,2018-10-01,2019-01-01,-0.6318388468896872,-0.0014353538046916509,-0.09571059782608696,0
1,AOS,Industrials,37.74165202108964,-20.7203861864092,-5075141.04730086,1.5178532258064503,46.003809523809515,2018-10-01,2019-01-01,-1.2418997038360908,-0.003373204986445812,0.09178940217391304,2
2,AYI,Industrials,36.02639805488017,-25.92473256862998,-1473901.9847319068,4.745074193548387,123.45698412698412,2018-10-01,2019-01-01,-1.2870318067935234,-0.0043607284879402936,0.09178940217391304,2
3,ALK,Industrials,45.24301252925788,-10.197756788665881,-3527110.3347143237,2.1389048387096774,64.67333333333333,2018-10-01,2019-01-01,-0.4687649343050922,-0.0013639145643830806,0.09178940217391304,0
4,ALLE,Industrials,42.08777516267478,-12.541145490454252,-1311804.8808875494,2.2897967741935483,86.2877777777778,2018-10-01,2019-01-01,-0.9029563243079392,-0.0019406809738474152,0.09178940217391304,3
5,AAL,Industrials,43.11674008810573,-18.93461247159808,-17411574.38053474,1.6290467741935482,34.8015873015873,2018-10-01,2019-01-01,-0.6379991618810443,-0.002710848320022512,0.09178940217391304,3
6,AME,Industrials,41.32601473349705,-15.067118303851455,-1902243.3110845909,1.9204677419354843,71.73539682539679,2018-10-01,2019-01-01,-0.9132594299545156,-0.0023501819764209977,0.09178940217391304,3
7,ARNC,Industrials,39.23327895595432,-23.848238482384833,-5226651.451872721,0.7736225806451613,20.37619047619048,2018-10-01,2019-01-01,-1.3229249363945672,-0.003985791687171626,0.09178940217391304,2
8,CHRW,Industrials,40.402066173391034,-14.053556827473425,-1668310.3235418722,2.3521338709677417,89.50190476190475,2018-10-01,2019-01-01,-1.0701743990731198,-0.002176701496688103,0.09178940217391304,3
9,CAT,Industrials,42.629086018361505,-16.555030207512473,-9827242.059079401,4.937475806451612,130.10444444444448,2018-10-01,2019-01-01,-0.7083954087132805,-0.002401103792616148,0.21775190217391305,3
10,CTAS,Industrials,40.853992812328684,-15.165134834865167,-884806.769892788,4.820183870967743,178.78428571428574,2018-10-01,2019-01-01,-0.9259851876469076,-0.0022436665419173748,0.09178940217391304,3
11,CSX,Industrials,39.75214489990468,-17.193122750899633,-14211432.954822747,1.9973419354838715,69.00238095238097,2018-10-01,2019-01-01,-1.097985910120588,-0.0027437558246989234,0.09178940217391304,3
12,CMI,Industrials,44.14906629699096,-9.696601121697423,-2887271.8798581767,4.3275709677419325,141.1893650793651,2018-10-01,2019-01-01,-0.5956810869930254,-0.001335326580308253,0.09178940217391304,0
13,DE,Industrials,49.511023667611816,-1.120243934773979,466222.1198416865,4.973374193548389,146.46111111111114,2018-10-01,2019-01-01,0.061310400803283024,0.0001815364710916232,0.09178940217391304,1
14,DAL,Industrials,43.819188191881906,-11.837455830388699,-10255369.38666191,1.6319709677419352,54.45492063492063,2018-10-01,2019-01-01,-0.6443912174230202,-0.0016830113216644233,0.44869940217391296,3
15,DOV,Industrials,35.73324485733244,-19.512195121951226,-2321142.347641824,1.952803225806451,81.66507936507935,2018-10-01,2019-01-01,-1.7257717938675592,-0.003237937231392757,0.09178940217391304,2
16,ETN,Industrials,34.66623143463358,-21.486563750714698,-4173302.899808748,2.030416129032257,74.79111111111109,2018-10-01,2019-01-01,-1.6492952408118615,-0.0035455480986194094,0.09178940217391304,2
17,EMR,Industrials,35.22708505367463,-23.04224626481195,-9389732.583801193,1.9180790322580643,67.43555555555554,2018-10-01,2019-01-01,-1.654681814023936,-0.003864418631268444,0.09178940217391304,2
18,EFX,Industrials,31.789168278529967,-28.794250324948397,-716505.3526481013,3.160019354838709,106.43349206349205,2018-10-01,2019-01-01,-1.5977082131386695,-0.004989564109000963,0.31383940217391304,2
19,ABT,Health Care,48.522370810632324,-2.41500269832704,2015032.9878218155,1.8211370967741949,70.27857142857144,2018-10-01,2019-01-01,-0.07194535275416125,-0.00016307102855953092,0.4220894021739131,0
20,ABBV,Health Care,48.48354020507285,-2.957894736842104,278670.90979947336,2.9352822580645155,87.93984126984125,2018-10-01,2019-01-01,-0.029272014622004138,-7.920315874943018e-05,-0.385885597826087,0
21,AET,Health Care,57.910292072322655,4.46954813359528,-2310029.930122737,2.5202,203.37952380952385,2018-10-01,2019-01-01,0.7358108185035578,0.0007681937073186965,0.42696440217391307,1
22,A,Health Care,47.22789611905456,-5.332584900364878,20888.857857003808,1.9151241935483871,67.27888888888889,2018-10-01,2019-01-01,-0.2236370209999802,-0.0006031091303737844,0.09178940217391304,0
23,ALXN,Health Care,36.933087945313524,-28.996499416569428,-3032332.9458168414,4.931103225806451,118.20444444444445,2018-10-01,2019-01-01,-1.4449958076901948,-0.005034375254159399,0.09178940217391304,2
24,ALGN,Health Care,30.92139728840552,-46.508479771148345,1527415.915130396,14.085264516129026,252.6611111111111,2018-10-01,2019-01-01,-1.667752081396466,-0.008929136694300606,0.09178940217391304,2
25,AGN,Health Care,30.397594386902803,-30.504861436073426,-2607280.646622646,4.832054838709677,163.92936507936503,2018-10-01,2019-01-01,-2.2155052800937187,-0.005493764657043356,0.09178940217391304,2
26,ABC,Health Care,39.03398926654741,-19.818946007112835,-1179918.196534318,2.8394209677419333,86.21523809523809,2018-10-01,2019-01-01,-1.2887496448620168,-0.0032290354034536077,0.09178940217391304,3
27,AMGN,Health Care,46.32211538461538,-5.9156154849934754,-1353434.5721469298,5.374648387096777,195.09190476190483,2018-10-01,2019-01-01,-0.2993901778398886,-0.0006910001548667532,0.507214402173913,0
28,ANTM,Health Care,47.06822797390139,-4.9131064446053525,-1436603.972870881,7.5224370967741905,274.9752380952382,2018-10-01,2019-01-01,-0.2570428612694846,-0.0005929388029887466,0.7086644021739131,0
29,BAX,Health Care,40.35426731078905,-15.398457583547563,4747274.569645053,1.7174064516129035,67.17873015873015,2018-10-01,2019-01-01,-0.9636369348331334,-0.0024069473541327487,0.09178940217391304,3
30,BDX,Health Care,40.14432781590633,-14.774188667826614,-1163411.3640118404,6.0263951612903215,237.90777777777785,2018-10-01,2019-01-01,-1.1586483351465986,-0.0023526472695442075,0.09178940217391304,3
31,BIIB,Health Care,41.77968799745304,-14.647152257771726,-1742637.474760661,10.094138709677429,319.1353968253967,2018-10-01,2019-01-01,-0.8871184083085059,-0.002298903112254309,0.09178940217391304,3
32,BSX,Health Care,45.5609756097561,-9.338122113904546,3919439.8062045192,1.2166225806451612,36.26873015873015,2018-10-01,2019-01-01,-0.4474902312152143,-0.0012915642202032654,0.09178940217391304,0
33,BMY,Health Care,40.227887215140974,-16.296296296296312,-2110141.625371864,1.5268596774193548,53.72873015873017,2018-10-01,2019-01-01,-0.973593872864822,-0.0025068628309032077,0.09178940217391304,3
34,CAH,Health Care,40.81431943351691,-17.315535780496838,-494845.6612397257,1.6675677419354846,52.12365079365079,2018-10-01,2019-01-01,-1.029078133608414,-0.002637464948664081,0.09178940217391304,3
35,CELG,Health Care,34.70525441821849,-28.693813974187798,-7753587.234863494,2.486740322580646,73.81761904761906,2018-10-01,2019-01-01,-1.7686102840912443,-0.005091735528481316,0.09178940217391304,2
36,CNC,Health Care,40.48870038614928,-20.67423460612316,-414314.1359521318,4.697364516129031,133.89174603174598,2018-10-01,2019-01-01,-1.0590866508684704,-0.003356688143413743,0.09178940217391304,3
37,CERN,Health Care,38.99943149516771,-18.126463700234197,-3584926.278007608,1.7015306451612904,57.974126984126976,2018-10-01,2019-01-01,-1.0630721517841841,-0.002924982912939494,0.09178940217391304,3
38,CI,Health Care,44.618615849597866,-9.960650452756846,-1147435.698551053,6.22726935483871,208.61523809523808,2018-10-01,2019-01-01,-0.5621923535591522,-0.0014525423441228704,0.09178940217391304,0
39,ACN,Information Technology,38.660153524075376,-18.73090888133249,-1123816.1931045915,3.8311870967741934,158.20619047619044,2018-10-01,2019-01-01,-1.3079376005714105,-0.002977493413072409,0.09178940217391304,3
40,ATVI,Information Technology,30.54583995760467,-44.080211335254575,-31763489.57265219,2.674058064516129,59.87190476190477,2018-10-01,2019-01-01,-2.1085357805746416,-0.008641097800338417,0.09178940217391304,2
41,ADBE,Information Technology,43.390503797944014,-17.8772369233003,-3886977.123913677,10.465438709677418,241.40476190476173,2018-10-01,2019-01-01,-0.5975797468453048,-0.002550799934597186,0.09178940217391304,3
42,AMD,Information Technology,38.85832187070151,-41.24761298535964,65954791.33521065,1.6861790322580643,21.622857142857146,2018-10-01,2019-01-01,-1.0192747250677099,-0.006922302429532094,0.09178940217391304,3
43,AKAM,Information Technology,43.21164089905158,-14.609254858101494,-1140290.2412940944,2.114959677419354,66.51079365079367,2018-10-01,2019-01-01,-0.5727419697915032,-0.0021014618237722295,0.09178940217391304,3
44,ADS,Information Technology,30.667900255529126,-36.8987554658594,-1443404.5986711783,6.515206451612903,196.4887301587302,2018-10-01,2019-01-01,-2.4697512833480566,-0.006984848405054122,0.09178940217391304,2
45,GOOGL,Information Technology,42.89696980224246,-13.534624709357646,-889723.9416367394,36.272904838709685,1080.8274603174602,2018-10-01,2019-01-01,-0.7231797901230872,-0.0020520131232703654,0.09178940217391304,0
46,GOOG,Information Technology,43.06532576033904,-13.360550819452698,-1201274.3138213689,35.547258064516136,1070.5084126984132,2018-10-01,2019-01-01,-0.7022094094932724,-0.0020144269728902607,0.09178940217391304,0
47,APH,Information Technology,40.99129269926323,-14.237324018206847,-2481272.374014263,2.1604919354838716,85.90365079365078,2018-10-01,2019-01-01,-1.0315971612400554,-0.002242017256863171,0.09178940217391304,3
48,ADI,Information Technology,46.37208273421083,-7.100335534148716,-2273456.86400838,2.7156419354838723,86.49833333333332,2018-10-01,2019-01-01,-0.2984162717146392,-0.0008364086927930477,0.09178940217391304,0
49,ANSS,Information Technology,39.70939680718861,-23.150537634408607,-463770.6726432606,5.744072580645162,155.34301587301584,2018-10-01,2019-01-01,-1.1772020184125758,-0.0038365262544322798,0.09178940217391304,3
50,AAPL,Information Technology,36.025568867090136,-30.59051306873184,-29719135.387352325,6.448233870967743,193.91206349206345,2018-10-01,2019-01-01,-1.7100273799377317,-0.005407691045496388,0.21308866687979536,2
51,AMAT,Information Technology,44.45764053840063,-14.606155451225874,-17852430.912376698,1.4468580645161293,34.28174603174603,2018-10-01,2019-01-01,-0.5435838980095026,-0.0019902217326275853,0.6236894021739131,3
52,ADSK,Information Technology,43.83850419320838,-17.292604501607713,-3252994.3480776665,6.06555483870968,135.06634920634923,2018-10-01,2019-01-01,-0.5996990862836971,-0.0024748926204054213,0.09178940217391304,3
53,ADP,Information Technology,42.366946778711494,-13.015788775374816,-938956.3586633323,3.8564129032258063,141.17571428571432,2018-10-01,2019-01-01,-0.7933683107206423,-0.0019334244138519672,0.09178940217391304,3
54,AVGO,Information Technology,50.85868586858685,1.911747024167365,-3071668.181771752,8.674888709677418,235.99999999999991,2018-10-01,2019-01-01,0.24816584192948474,0.0007848111546295269,0.09178940217391304,1
