,symbol,sector
0,"CAT,PPG","Industrials,Materials"
1,"AAL,CAH","Industrials,Health Care"
2,"CMCSA,CL","Consumer Discretionary,Consumer Staples"
3,"AJG,IFF","Financials,Materials"
4,"CCL,CXO","Consumer Discretionary,Energy"
5,"ALLE,BRK.B","Industrials,Financials"
6,"ALXN,HES","Health Care,Energy"
7,"ACN,ANSS","Information Technology,Information Technology"
8,"APA,BHGE","Energy,Energy"
9,"BAX,KIM","Health Care,Real Estate"
10,"DISCA,DISCK","Consumer Discretionary,Consumer Discretionary"
11,"ADM,COP","Consumer Staples,Energy"
12,"CSX,ADP","Industrials,Information Technology"
13,"AMZN,COST","Consumer Discretionary,Consumer Staples"
14,"XEC,EQT","Energy,Energy"
15,"ADS,OXY","Information Technology,Energy"
16,"DTE,AIV,EQR","Utilities,Real Estate,Real Estate"
17,"AVB,ESS","Real Estate,Real Estate"
18,"D,FE","Utilities,Utilities"
19,"CMS,ES","Utilities,Utilities"
20,"ALK,EIX","Industrials,Utilities"
21,"ABT,AFL","Health Care,Financials"
22,"BIIB,CI","Health Care,Health Care"
23,"ED,DLR","Utilities,Real Estate"
24,"LNT,ETR,NEE","Utilities,Utilities,Utilities"
25,"CNP,IRM","Utilities,Real Estate"
