,symbol,sector
0,"AJG,IFF","Financials,Materials"
1,"CMCSA,CL","Consumer Discretionary,Consumer Staples"
2,"CAT,PPG","Industrials,Materials"
3,"AAL,CAH","Industrials,Health Care"
4,"CSX,ADP","Industrials,Information Technology"
5,"DISCA,DISCK","Consumer Discretionary,Consumer Discretionary"
6,"ADM,COP","Consumer Staples,Energy"
7,"BHGE,DVN","Energy,Energy"
8,"XEC,EQT","Energy,Energy"
9,"ADS,OXY","Information Technology,Energy"
10,"GOOGL,GOOG","Information Technology,Information Technology"
11,"ALXN,HES","Health Care,Energy"
12,"ACN,ANSS","Information Technology,Information Technology"
13,"ABT,AFL","Health Care,Financials"
14,"BIIB,CI","Health Care,Health Care"
15,"LNT,AEP,ETR,NEE","Utilities,Utilities,Utilities,Utilities"
16,"CNP,IRM","Utilities,Real Estate"
17,"DTE,AIV,EQR","Utilities,Real Estate,Real Estate"
18,"AVB,ESS","Real Estate,Real Estate"
19,"D,FE","Utilities,Utilities"
20,"CMS,ES","Utilities,Utilities"
21,"ALK,EIX","Industrials,Utilities"
22,"ALB,HP","Materials,Energy"
