,symbol,start_date,sector
0,AZO,2018-04-01,Consumer Discretionary
1,EQIX,2018-04-01,Real Estate
2,AMZN,2018-04-01,Consumer Discretionary
3,CMG,2018-07-01,Consumer Discretionary
4,AZO,2018-07-01,Consumer Discretionary
5,AMZN,2018-07-01,Consumer Discretionary
6,AZO,2018-10-01,Consumer Discretionary
8,CMG,2019-01-01,Consumer Discretionary
9,BKNG,2019-01-01,Consumer Discretionary
7,SHW,2019-01-01,Materials
10,EQIX,2019-04-01,Real Estate
11,BKNG,2019-04-01,Consumer Discretionary
12,BIIB,2019-04-01,Health Care
13,EQIX,2019-07-01,Real Estate
14,BKNG,2019-07-01,Consumer Discretionary
15,EQIX,2019-10-01,Real Estate
16,BIIB,2019-10-01,Health Care
17,BKNG,2019-10-01,Consumer Discretionary
18,AMZN,2020-01-01,Consumer Discretionary
19,EQIX,2020-01-01,Real Estate
