,symbol,start_date,sector
0,ADSK,2018-04-01,Information Technology
1,AMZN,2018-04-01,Consumer Discretionary
2,AMD,2018-04-01,Information Technology
17,AMZN,2018-07-01,Consumer Discretionary
16,AMD,2018-07-01,Information Technology
15,BHF,2018-07-01,Financials
21,NEM,2018-10-01,Materials
22,ALLE,2018-10-01,Industrials
23,GOOG,2018-10-01,Information Technology
7,COTY,2019-01-01,Consumer Staples
6,BHF,2019-01-01,Financials
8,AZO,2019-01-01,Consumer Discretionary
9,APC,2019-04-01,Energy
10,CSX,2019-04-01,Industrials
11,AZO,2019-04-01,Consumer Discretionary
5,CMG,2019-07-01,Consumer Discretionary
4,DHI,2019-07-01,Consumer Discretionary
3,CTXS,2019-07-01,Information Technology
18,AMD,2019-10-01,Information Technology
19,DVN,2019-10-01,Energy
20,GOOGL,2019-10-01,Information Technology
12,BXP,2020-01-01,Real Estate
13,CTXS,2020-01-01,Information Technology
14,AMZN,2020-01-01,Consumer Discretionary
