,Sharpe Ratio,Portfolio Annualised Return,Portfolio Annualised_Volatility,Stock Portfolio,Stocks Weight Allocation,Portfolio Tag
23,2.2010533662213274,1.96,0.88,"['AMD', 'AJG']",[[  0. 100.]],Very Good
14,1.5904431765727336,0.48,0.3,"['AZO', 'NEE', 'BKNG', 'EFX', 'AAPL', 'AON', 'DHI', 'CXO', 'APC']",[[19.83  0.   22.85  7.76  0.    0.    0.    0.   49.56]],Good
19,1.4964931434651176,0.5,0.33,"['GOOGL', 'AZO', 'NEE', 'BKNG', 'AJG', 'EFX', 'AAPL', 'AON', 'DHI', 'CXO', 'NEM', 'BAC']",[[29.67  0.    0.    7.91  0.    0.    0.    0.    0.    0.   49.7  12.71]],Good
6,1.49649305970946,0.5,0.33,"['GOOGL', 'AZO', 'NEE', 'BKNG', 'AJG', 'EFX', 'AAPL', 'AON', 'DHI', 'CXO', 'NEM']",[[29.66  0.    0.    7.89  0.    0.    0.    0.    0.   49.73 12.72]],Good
10,1.4964929850808637,0.5,0.33,"['AZO', 'NEE', 'BKNG', 'AJG', 'EFX', 'AAPL', 'AON', 'DHI', 'CXO', 'NEM']",[[29.68  0.    0.    7.92  0.    0.    0.    0.   49.71 12.68]],Good
24,1.4902387073291463,0.51,0.33,"['GOOGL', 'NEE', 'BKNG', 'AJG', 'EFX', 'AAPL', 'AON', 'DHI', 'CXO', 'NEM']",[[32.2   0.    0.    0.    0.    0.    0.    0.   54.32 13.48]],Good
22,1.4902385263435902,0.51,0.33,"['NEE', 'BKNG', 'AJG', 'EFX', 'AAPL', 'CBS', 'AON', 'DHI', 'CXO', 'NEM']",[[32.22  0.    0.    0.    0.    0.    0.    0.   54.33 13.45]],Good
20,1.4755895361673872,0.52,0.35,"['AZO', 'NEE', 'BKNG', 'AJG', 'EFX', 'AAPL', 'AON', 'DHI', 'CXO', 'HP']",[[30.93  0.    0.    9.63  0.    0.    0.    0.    0.   59.44]],Good
16,1.4675557584435333,0.53,0.36,"['NEE', 'AJG', 'EFX', 'AAPL', 'CBS', 'AON', 'DHI', 'CXO']",[[34.14  0.    0.    0.    0.    0.    0.   65.86]],Good
15,1.4675557188565096,0.53,0.36,"['NEE', 'BKNG', 'AJG', 'EFX', 'AAPL', 'AON', 'DHI', 'CXO']",[[34.16  0.    0.    0.    0.    0.    0.   65.84]],Good
26,1.4675557016821557,0.53,0.36,"['GOOGL', 'NEE', 'BKNG', 'AJG', 'EFX', 'AAPL', 'AON', 'DHI', 'CXO', 'BAC']",[[34.16  0.    0.    0.    0.    0.    0.    0.    0.   65.84]],Good
17,1.4675555464507364,0.53,0.36,"['NEE', 'BKNG', 'AJG', 'EFX', 'AAPL', 'AON', 'DHI', 'CXO', 'BAC']",[[34.18  0.    0.    0.    0.    0.    0.    0.   65.82]],Good
9,1.4603741557144554,0.52,0.35,"['GOOGL', 'CTXS']",[[100.   0.]],Good
2,1.3607438115624821,0.55,0.4,"['EQIX', 'ADBE']",[[27.2 72.8]],Good
18,1.3327760223507812,0.52,0.38,"['EMR', 'NEE']",[[  0. 100.]],Good
5,1.3306599525140637,0.46,0.34,"['GOOGL', 'AZO', 'BKNG', 'AJG', 'EFX', 'AAPL', 'AON', 'DHI', 'CXO', 'NEM']",[[47.95  0.    0.1  25.36  0.    0.    0.    0.    0.   26.59]],Good
13,1.330659863151569,0.46,0.34,"['AZO', 'BKNG', 'AJG', 'EFX', 'AAPL', 'AON', 'DHI', 'CXO', 'NEM', 'HP']",[[47.96  0.    0.1  25.38  0.    0.    0.    0.    0.   26.56]],Good
0,1.2942173519014302,0.54,0.41,"['EQIX', 'KMI', 'AJG']",[[ 6.13 93.87  0.  ]],Good
1,1.2928072356956233,0.56,0.42,"['EQIX', 'AOS']",[[  0. 100.]],Good
7,1.270199039045413,0.47,0.36,"['GOOGL', 'BKNG', 'AJG', 'EFX', 'AAPL', 'AON', 'DHI', 'CXO', 'NEM']",[[63.22  0.97  1.72  0.    0.    0.    0.    0.   34.09]],Good
29,1.2701231999010143,0.47,0.37,"['AJG', 'EFX', 'AAPL', 'CBS', 'CXO', 'NEM']",[[63.63  2.12  0.    0.    0.   34.25]],Good
8,1.2701231725335105,0.47,0.37,"['GOOGL', 'BKNG', 'AJG', 'EFX', 'AAPL', 'DHI', 'CXO', 'NEM', 'BAC']",[[63.63  2.1   0.    0.    0.    0.    0.    0.   34.27]],Good
27,1.1588595119054204,0.51,0.44,"['BKNG', 'AJG', 'EFX', 'AAPL', 'AON', 'DHI', 'CXO', 'HP']",[[78.62 16.02  5.36  0.    0.    0.    0.    0.  ]],Good
3,1.0661071416575731,0.4,0.36,"['AMZN', 'AJG']",[[41. 59.]],Good
