,symbol,sector,RSI,ROC,ADOSC,ATR,EMA,start_date,end_date
63,MMM,Industrials,43.16658071170706,-7.478129997178062,2315893.1532943267,3.639719047619048,204.10562499999997,2018-04-01,2018-07-01
545,AOS,Industrials,47.03757225433525,-3.9928583022236674,-21538.019510647922,1.2515063492063487,63.02296875,2018-04-01,2018-07-01
1027,AYI,Industrials,39.672293942403186,-15.219140996561054,854773.826494158,3.4107825396825406,121.83046875000001,2018-04-01,2018-07-01
1509,ALK,Industrials,52.47469066366705,4.571428571428582,-333556.8220381157,1.6147222222222217,61.918906250000006,2018-04-01,2018-07-01
1991,ALLE,Industrials,44.112935522627154,-7.063911580970683,1062633.120678395,1.6045126984126972,80.08265624999999,2018-04-01,2018-07-01
2473,AAL,Industrials,37.563131313131315,-23.744475693049417,-7240965.471253552,1.4151349206349204,44.07796875,2018-04-01,2018-07-01
2955,AME,Industrials,47.16295960054471,-3.3485132601125067,734300.447568346,1.3348301587301583,74.07953125000002,2018-04-01,2018-07-01
3437,ARNC,Industrials,35.6211003970505,-22.96195652173911,-7427479.604668055,0.5368174603174604,19.34765625,2018-04-01,2018-07-01
3919,BA,Industrials,52.20100367114614,4.053467311747916,2409085.4352529906,8.475609523809524,343.96390624999987,2018-04-01,2018-07-01
4401,CHRW,Industrials,43.3576189738025,-9.291987422747482,-603683.5329953441,1.9359904761904754,89.23921874999998,2018-04-01,2018-07-01
4883,CAT,Industrials,46.344717182497334,-5.712697199249428,-6553071.80165112,3.7963888888888877,149.41953125000003,2018-04-01,2018-07-01
5365,CTAS,Industrials,60.199235491717815,10.515944106055164,714749.2116379775,2.695146031746032,179.98874999999995,2018-04-01,2018-07-01
5847,CSX,Industrials,61.277445109780416,16.51443185970041,4879259.3270811625,1.257568253968254,61.77937500000001,2018-04-01,2018-07-01
6329,CMI,Industrials,38.02029984169848,-16.20991620991621,-1112074.6454813848,3.4176714285714285,149.67890625,2018-04-01,2018-07-01
6811,DE,Industrials,45.60672514619884,-7.917270451850866,-766506.3390388498,4.089676190476192,147.37484375,2018-04-01,2018-07-01
7293,DAL,Industrials,46.96549987408712,-4.639076034648704,-105494.89148597233,1.2508380952380946,53.34390625000001,2018-04-01,2018-07-01
7775,DOV,Industrials,34.16678307026121,-23.646604777302592,96551.35560346115,2.1284952380952378,84.13937500000002,2018-04-01,2018-07-01
8257,ETN,Industrials,46.472135852666824,-3.797142489380878,2072123.5225951863,1.4518396825396829,77.35015624999996,2018-04-01,2018-07-01
8739,EMR,Industrials,53.396674584323044,4.3150271575135735,3290420.186862625,1.381388888888889,70.2778125,2018-04-01,2018-07-01
9221,EFX,Industrials,56.89280868385346,8.8386254893432,1071610.0670445263,2.106438095238094,118.50218750000002,2018-04-01,2018-07-01
9703,ABT,Health Care,53.97142857142857,4.7758117161999625,12804364.766262084,1.0563079365079358,60.62515625,2018-04-01,2018-07-01
10185,ABBV,Health Care,50.74272874797154,1.3011152416356975,-5396700.75173836,2.3559507936507935,97.66234374999998,2018-04-01,2018-07-01
10667,AET,Health Care,59.2901122781601,9.15472012372851,3288027.16755539,2.415793650793648,178.2328125,2018-04-01,2018-07-01
10836,A,Health Care,47.38753278192455,-4.019866521806614,592494.9455109402,1.4086761904761913,65.24953125000002,2018-04-01,2018-07-01
11318,ALXN,Health Care,56.792502408688804,14.276509572901318,1768520.3471136116,3.463831746031743,116.87093749999998,2018-04-01,2018-07-01
11800,ALGN,Health Care,65.00950828579191,40.97820264535004,2317477.7793846354,10.031498412698417,298.3,2018-04-01,2018-07-01
12282,AGN,Health Care,51.54181969371492,2.742343008565973,512646.5237481138,4.445738095238095,160.54234375000001,2018-04-01,2018-07-01
12764,ABC,Health Care,51.485035412382906,3.1450344744163417,912737.9587568119,2.6099984126984115,87.86234375000004,2018-04-01,2018-07-01
13246,AMGN,Health Care,58.923758182518284,11.165311653116516,556127.8690016569,3.4681634920634923,176.88578125000004,2018-04-01,2018-07-01
13728,ANTM,Health Care,55.50227468338866,8.131558624449188,1152844.1924389452,4.951787301587296,231.57250000000008,2018-04-01,2018-07-01
14210,BAX,Health Care,62.64270099587079,16.411792527195335,6134641.986545518,1.2583015873015881,70.48234375,2018-04-01,2018-07-01
14692,BDX,Health Care,59.700059101654844,12.31129864041256,1190411.8917517066,3.9302666666666646,228.15093750000008,2018-04-01,2018-07-01
15174,BIIB,Health Care,56.29617645472686,8.748922777174117,-665147.0224436224,7.033722222222227,281.145625,2018-04-01,2018-07-01
15656,BSX,Health Care,63.245931283905975,21.833084947839065,-81949.18518972071,0.713730158730159,30.160625,2018-04-01,2018-07-01
16138,BMY,Health Care,40.57724957555179,-10.741935483870957,3853574.185643425,1.1603793650793655,54.008125,2018-04-01,2018-07-01
16620,CAH,Health Care,40.03925417075565,-19.963940337649568,-5211386.992352895,1.7738999999999998,56.70124999999999,2018-04-01,2018-07-01
17102,CELG,Health Care,44.43717277486911,-8.786034225335925,-10233953.24394013,2.0985587301587283,83.03039062500001,2018-04-01,2018-07-01
17518,CNC,Health Care,61.900084198708946,15.962352941176473,5125279.064624915,2.3529000000000013,115.33453125000003,2018-04-01,2018-07-01
18000,CERN,Health Care,53.24487334137514,4.711033274956211,2327996.976478949,1.314098412698413,59.17124999999998,2018-04-01,2018-07-01
18482,CI,Health Care,52.95297526186761,3.2189492863650138,72944.85460861388,3.0784047619047614,173.10390625,2018-04-01,2018-07-01
18964,ACN,Information Technology,58.572213069741906,10.54872280037844,3492797.7075163145,2.5912619047619043,155.53484375000002,2018-04-01,2018-07-01
19446,ATVI,Information Technology,60.06452769313496,17.253034260255017,5749760.768819863,1.8458190476190475,70.76921874999998,2018-04-01,2018-07-01
19928,ADBE,Information Technology,59.15239477503628,14.853024307518382,5199969.255317481,5.539461904761905,236.548125,2018-04-01,2018-07-01
20410,AMD,Information Technology,64.8531011969532,57.292759706190985,116255362.7051034,0.5360857142857143,12.712500000000002,2018-04-01,2018-07-01
20892,AKAM,Information Technology,53.51590106007067,5.747292418772565,3275656.248597419,1.659136507936507,75.0178125,2018-04-01,2018-07-01
21374,ADS,Information Technology,59.44244604316546,12.115384615384617,608221.9325102286,4.32729523809524,214.03531249999995,2018-04-01,2018-07-01
21856,GOOGL,Information Technology,57.92860446766252,11.51062085855643,643977.143616908,22.74595238095237,1087.83546875,2018-04-01,2018-07-01
22338,GOOG,Information Technology,57.63646028593011,10.847814639283836,1466392.8011448898,21.718095238095245,1080.68515625,2018-04-01,2018-07-01
22820,APH,Information Technology,53.97843942505135,3.688280785246878,2739273.1763460636,1.3511222222222214,87.04640625,2018-04-01,2018-07-01
23302,ADI,Information Technology,56.02015113350126,8.078873239436613,4909223.843026774,1.9368015873015865,94.38796875000001,2018-04-01,2018-07-01
23784,ANSS,Information Technology,59.87936569705226,13.19945408461689,1141831.4612108874,3.7241761904761903,166.45796875000002,2018-04-01,2018-07-01
24266,AAPL,Information Technology,58.54269027533141,11.057115430765553,23072948.97233501,3.168342857142857,181.3965625,2018-04-01,2018-07-01
24748,AMAT,Information Technology,44.22811853893866,-12.667801096615626,-3692145.7102299854,1.6161587301587304,51.548750000000005,2018-04-01,2018-07-01
25230,ADSK,Information Technology,53.676600246870045,6.79429735234216,1215243.8264394007,3.641606349206345,132.47578125000004,2018-04-01,2018-07-01
25712,ADP,Information Technology,65.56152927120668,18.393645189761678,4431641.749043321,2.254542857142857,126.74578125000002,2018-04-01,2018-07-01
26194,AVGO,Information Technology,53.98508257858284,6.570625439212918,5015555.637882857,5.711873015873014,245.1721875,2018-04-01,2018-07-01
26676,CA,Information Technology,59.41289087428206,9.02140672782874,5806615.584042452,0.6289809523809521,35.24203125,2018-04-01,2018-07-01
26830,CDNS,Information Technology,65.31198686371098,20.80892608089262,2896829.8829908753,0.8054777777777778,41.12078125000001,2018-04-01,2018-07-01
27312,CSCO,Information Technology,53.923853923853926,4.925627895635221,11600780.022311687,0.8711904761904764,43.69390625000002,2018-04-01,2018-07-01
27794,CTXS,Information Technology,63.69349280356781,14.792510675572101,4387282.976157121,1.8065507936507934,102.92328124999999,2018-04-01,2018-07-01
28276,AAP,Consumer Discretionary,62.65843007775055,21.236487090145605,1188011.7904817134,3.528873015873015,121.50859375,2018-04-01,2018-07-01
28758,AMZN,Consumer Discretionary,64.89273739971105,23.893031290315527,5853634.987323524,32.48333333333334,1587.43453125,2018-04-01,2018-07-01
