,Unnamed: 0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,symbol,time,sector
2,502,212.39,217.9225,211.12,217.56,204.2972,2488891,0.0,1.0,MMM,2018-04-04,Industrials
3,501,218.64,220.31,216.56,218.67,205.3396,2879937,0.0,1.0,MMM,2018-05-04,Industrials
4,500,217.4,218.85,211.0,212.25,199.3109,2503915,0.0,1.0,MMM,2018-06-04,Industrials
9,495,218.09,218.68,214.46,215.52,202.3816,2034539,0.0,1.0,MMM,2018-04-13,Industrials
10,494,217.2,219.27,216.59,217.7,204.4287,2060517,0.0,1.0,MMM,2018-04-16,Industrials
11,493,219.15,221.69,218.74,220.09,206.673,1853521,0.0,1.0,MMM,2018-04-17,Industrials
12,492,220.39,221.01,219.16,219.52,206.1377,1599252,0.0,1.0,MMM,2018-04-18,Industrials
13,491,218.04,219.3,217.03,218.85,205.5086,1453128,0.0,1.0,MMM,2018-04-19,Industrials
14,490,218.41,220.28,216.74,217.75,204.4756,2634318,0.0,1.0,MMM,2018-04-20,Industrials
15,489,218.02,218.73,214.75,215.88,202.7196,2520707,0.0,1.0,MMM,2018-04-23,Industrials
16,488,206.5,206.5,196.89,201.13,188.8688,11671410,0.0,1.0,MMM,2018-04-24,Industrials
17,487,201.1,201.75,197.01,198.84,186.7184,6204698,0.0,1.0,MMM,2018-04-25,Industrials
18,486,198.68,199.6275,196.17,197.09,185.0751,4124297,0.0,1.0,MMM,2018-04-26,Industrials
19,485,196.77,197.11,194.4,196.12,184.1642,3354762,0.0,1.0,MMM,2018-04-27,Industrials
20,484,196.96,198.34,194.18,194.39,182.5397,4008740,0.0,1.0,MMM,2018-04-30,Industrials
24,480,195.07,199.9299,194.0621,199.36,187.2067,3071746,0.0,1.0,MMM,2018-04-05,Industrials
30,474,205.67,206.04,204.67,205.76,193.2166,3385944,0.0,1.0,MMM,2018-05-14,Industrials
31,473,204.96,205.57,201.64,202.41,190.0708,2259183,0.0,1.0,MMM,2018-05-15,Industrials
32,472,200.52,201.04,199.05,200.21,188.0049,2913530,0.0,1.0,MMM,2018-05-16,Industrials
33,471,199.27,201.4,198.69,200.36,189.4229,2265781,1.36,1.0,MMM,2018-05-17,Industrials
34,470,200.28,200.76,198.45,198.96,188.0993,2925657,0.0,1.0,MMM,2018-05-18,Industrials
35,469,200.5,202.9273,200.0,201.76,190.7464,2126485,0.0,1.0,MMM,2018-05-21,Industrials
36,468,201.96,202.11,198.73,198.97,188.1087,2313924,0.0,1.0,MMM,2018-05-22,Industrials
37,467,197.74,198.8,196.56,198.67,187.8251,2737706,0.0,1.0,MMM,2018-05-23,Industrials
38,466,198.83,200.18,196.93099999999998,199.41,188.5247,2055003,0.0,1.0,MMM,2018-05-24,Industrials
39,465,198.33,199.41,197.93,199.03,188.1655,1686498,0.0,1.0,MMM,2018-05-25,Industrials
40,464,198.0,198.51,195.1,195.74,185.0551,2346792,0.0,1.0,MMM,2018-05-29,Industrials
