,symbol,sector
0,"NEM,PPG","Materials,Materials"
1,"DE,D,EIX,CBOE,CB","Industrials,Utilities,Utilities,Financials,Financials"
2,"AKAM,CMCSA,DLTR,LNT,AEP,AWK,CMS,ED,DTE,ETR,ES,NEE,AMT,CCI,EQR,ESS,CPB,CL,EL,GIS","Information Technology,Consumer Discretionary,Consumer Discretionary,Utilities,Utilities,Utilities,Utilities,Utilities,Utilities,Utilities,Utilities,Utilities,Real Estate,Real Estate,Real Estate,Real Estate,Consumer Staples,Consumer Staples,Consumer Staples,Consumer Staples"
3,"CNP,ARE,AIV,BXP","Utilities,Real Estate,Real Estate,Real Estate"
4,"CERN,BWA,PCG,BLK,MNST","Health Care,Consumer Discretionary,Utilities,Financials,Consumer Staples"
5,"AIG,STZ","Financials,Consumer Staples"
6,"EMN,IP,NUE,KHC,HAL","Materials,Materials,Materials,Consumer Staples,Energy"
7,"AAL,AMG","Industrials,Financials"
8,"BHF,ALB,LYB,MAC","Financials,Materials,Materials,Real Estate"
9,"DISH,COTY","Consumer Discretionary,Consumer Staples"
10,"AMAT,AMP,BAC","Information Technology,Financials,Financials"
11,"DHI,EQIX","Consumer Discretionary,Real Estate"
12,"PKG,CAG","Materials,Consumer Staples"
13,"HRB,IFF","Financials,Materials"
14,"ALK,DAL,DG,KO,KMB","Industrials,Industrials,Consumer Discretionary,Consumer Staples,Consumer Staples"
15,"MMM,CI","Industrials,Health Care"
16,"NRG,WBA","Utilities,Consumer Staples"
17,"AFL,APD","Financials,Materials"
18,"CHTR,AON","Consumer Discretionary,Financials"
19,"ABT,CINF,BLL,ECL","Health Care,Financials,Materials,Materials"
20,"AYI,ABC","Industrials,Health Care"
21,"ARNC,AGN,CVS","Industrials,Health Care,Consumer Staples"
22,"CAT,CCL,CXO","Industrials,Consumer Discretionary,Energy"
23,"CHRW,CAH,MPC","Industrials,Health Care,Energy"
24,"DOV,AVY","Industrials,Materials"
25,"AME,ETN","Industrials,Industrials"
26,"ALL,DFS","Financials,Financials"
27,"ADSK,MO,HP","Information Technology,Consumer Staples,Energy"
28,"EMR,CELG,APH","Industrials,Health Care,Information Technology"
29,"GOOGL,GOOG,AMZN,BKNG","Information Technology,Information Technology,Consumer Discretionary,Consumer Discretionary"
30,"ADI,CDNS,DRI","Information Technology,Information Technology,Consumer Discretionary"
31,"AEE,FE,NI,MLM,DRE,EXR,HCP,KIM","Utilities,Utilities,Utilities,Materials,Real Estate,Real Estate,Real Estate,Real Estate"
32,"AVGO,AES","Information Technology,Utilities"
33,"EXC,DLR,FRT,IRM","Utilities,Real Estate,Real Estate,Real Estate"
34,"KMX,AIZ","Consumer Discretionary,Financials"
35,"XEC,EOG,NOV","Energy,Energy,Energy"
36,"ADS,OXY,EQT","Information Technology,Energy,Energy"
37,"ATVI,K","Information Technology,Consumer Staples"
38,"ACN,ANSS,FMC","Information Technology,Information Technology,Materials"
39,"CTAS,EFX,PLD,KMI","Industrials,Industrials,Real Estate,Energy"
40,"BBY,HST,BHGE","Consumer Discretionary,Real Estate,Energy"
41,"APA,CVX,DVN,XOM","Energy,Energy,Energy,Energy"
42,"AAP,HRL","Consumer Discretionary,Consumer Staples"
43,"DISCA,DISCK","Consumer Discretionary,Consumer Discretionary"
44,"CF,SHW","Materials,Materials"
45,"CNC,COP,MRO","Health Care,Energy,Energy"
46,"BIIB,ADM","Health Care,Consumer Staples"
47,"ADBE,AMD","Information Technology,Information Technology"
48,"ADP,HES","Information Technology,Energy"
49,"CSX,ALXN","Industrials,Health Care"
