,symbol,sector
0,"ETN,EMR","Industrials,Industrials"
1,"HRB,IFF","Financials,Materials"
2,"CMCSA,DTE,ESS","Consumer Discretionary,Utilities,Real Estate"
3,"ES,CINF,KMB","Utilities,Financials,Consumer Staples"
4,"ALK,DAL","Industrials,Industrials"
5,"CHRW,ABC,CAH","Industrials,Health Care,Health Care"
6,"CAT,CMI,APH,PPG","Industrials,Industrials,Information Technology,Materials"
7,"EIX,BA","Utilities,Industrials"
8,"ALLE,CERN,AON","Industrials,Health Care,Financials"
9,"EMN,KHC","Materials,Consumer Staples"
10,"FCX,HAL","Materials,Energy"
11,"AMP,COF","Financials,Financials"
12,"AEP,AMT","Utilities,Real Estate"
13,"LNT,ED,D,DUK","Utilities,Utilities,Utilities,Utilities"
14,"ETR,NEE","Utilities,Utilities"
15,"BXP,CL,SJM","Real Estate,Consumer Staples,Consumer Staples"
16,"ARE,GIS","Real Estate,Consumer Staples"
17,"DHI,CPB","Consumer Discretionary,Consumer Staples"
18,"IP,NUE","Materials,Materials"
19,"BLK,MNST","Financials,Consumer Staples"
20,"APA,XOM","Energy,Energy"
21,"AIV,AVB,EQR","Real Estate,Real Estate,Real Estate"
22,"ABT,CHD","Health Care,Consumer Staples"
23,"BIIB,CTXS","Health Care,Information Technology"
24,"CSX,ADP","Industrials,Information Technology"
25,"PLD,COST","Real Estate,Consumer Staples"
26,"BSX,ADBE","Health Care,Information Technology"
27,"ADS,OXY","Information Technology,Energy"
28,"AEE,CMS,FE","Utilities,Utilities,Utilities"
29,"NI,DLR,EXR,HCP","Utilities,Real Estate,Real Estate,Real Estate"
30,"DRI,KMI","Consumer Discretionary,Energy"
31,"DRE,KIM","Real Estate,Real Estate"
32,"CTAS,AKAM,EQIX","Industrials,Information Technology,Real Estate"
33,"ADI,CVX","Information Technology,Energy"
34,"AIZ,MLM","Financials,Materials"
35,"GOOGL,GOOG,AMZN,BKNG","Information Technology,Information Technology,Consumer Discretionary,Consumer Discretionary"
